ADDR_IDX,ADDR_TYPE,STD_ADDR_PRIM_TYPE
307,ste,Suite
308,smt,Summit
309,ter,Terrace
310,trce,Trace
311,trak,Track
312,trfy,Trafficway
313,trl,Trail
314,trlr,Trailer
315,tunl,Tunnel
316,tpke,Turnpike
317,un,Union
318,uppr,Upper
319,vly,Valley
320,via,Viaduct
321,vw,View
322,vlg,Village
323,vl,Ville
324,vis,Vista
325,way,Way
326,wls,Well
327,wls,Wells
328,street,Street
329,av,Avenue
330,AV,Avenue
331,Blvd,Boulevard
332,Blv,Boulevard
333,ACCS,Access
334,ALLY,Alley
335,ALWY,Alleyway
336,AMBL,Amble
337,APP,Approach
338,ARC,Arcade
339,ARTL,Arterial
340,ARTY,Artery
341,AV,Avenue
342,BA,Banan
343,BEND,Bend
344,BWLK,Boardwalk
345,BVD,Boulevard
346,BR,Brace
347,BRAE,Brae
348,BRK,Break
349,BROW,Brow
350,BYPA,Bypass
351,BYWY,Byway
352,CSWY,Causeway
353,CTR,Centre
354,CH,Chase
355,CIR,Circle
356,CCT,Circuit
357,CRCS,Circus
358,CL,Close
359,CON,Concourse
360,CPS,Copse
361,CNR,Corner
362,CT,Court
363,CTYD,Courtyard
364,COVE,Cove
365,CR,Crescent
366,CRST,Crest
367,CRSS,Cross
368,CSAC,Cul-de-sac
369,CUTT,Cutting
370,DALE,Dale
371,DIP,Dip
372,DR,Drive
373,DVWY,Driveway
374,EDGE,Edge
375,ELB,Elbow
376,END,End
377,ENT,Entrance
378,ESP,Esplanade
379,EXP,Expressway
380,FAWY,Fairway
381,FOLW,Follow
382,FTWY,Footway
383,FORM,Formation
384,FWY,Freeway
385,FRTG,Frontage
386,GAP,Gap
387,GDNS,Gardens
388,GTE,Gate
389,GLDE,Glade
390,GLEN,Glen
391,GRA,Grange
392,GRN,Green
393,GR,Grove
394,HTS,Heights
395,HIRD,Highroad
396,HWY,Highway
397,HILL,Hill
398,INTG,Interchange
399,JNC,Junction
400,KEY,Key
401,LANE,Lane
402,LNWY,Laneway
403,LINE,Line
404,LINK,Link
405,LKT,Lookout
406,LOOP,Loop
407,MALL,Mall
408,MNDR,Meander
409,MEWS,Mews
410,MTWY,Motorway
411,NOOK,Nook
412,OTLK,Outlook
413,PDE,Parade
414,PWY,Parkway
415,PASS,Pass
416,PSGE,Passage
417,PATH,Path
418,PWAY,Pathway
419,PIAZ,Piazza
420,PLZA,Plaza
421,PKT,Pocket
422,PNT,Point
423,PORT,Port
424,PROM,Promenade
425,QDRT,Quadrant
426,QYS,Quays
427,RMBL,Ramble
428,REST,Rest
429,RTT,Retreat
430,RDGE,Ridge
431,RISE,Rise
432,RD,Road
433,RTY,Rotary
434,RTE,Route
435,ROW,Row
436,RUE,Rue
437,SVWY,Serviceway
438,SHUN,Shunt
439,SPUR,Spur
440,SQ,Square
441,ST,Street
442,SBWY,Subway
443,TARN,Tarn
444,TCE,Terrace
445,THFR,Thoroughfare
446,TLWY,Tollway
447,TOP,Top
448,TOR,Tor
449,TRK,Track
450,TRL,Trail
451,TURN,Turn
452,UPAS,Underpass
453,VALE,Vale
454,VIAD,Viaduct
455,VIEW,View
456,VSTA,Vista
457,WALK,Walk
458,WKWY,Walkway
459,WHRF,Wharf
460,WYND,Wynd
461,accs,Access
462,ally,Alley
463,alwy,Alleyway
464,ambl,Amble
465,app,Approach
466,arc,Arcade
467,artl,Arterial
468,arty,Artery
469,av,Avenue
470,ba,Banan
471,bend,Bend
472,bwlk,Boardwalk
473,bvd,Boulevard
474,br,Brace
475,brae,Brae
476,brk,Break
477,brow,Brow
478,bypa,Bypass
479,bywy,Byway
480,cswy,Causeway
481,ctr,Centre
482,ch,Chase
483,cir,Circle
484,cct,Circuit
485,crcs,Circus
486,cl,Close
487,con,Concourse
488,cps,Copse
489,cnr,Corner
490,ct,Court
491,ctyd,Courtyard
492,cove,Cove
493,cr,Crescent
494,crst,Crest
495,crss,Cross
496,csac,Cul-de-sac
497,cutt,Cutting
498,dale,Dale
499,dip,Dip
500,dr,Drive
501,dvwy,Driveway
502,edge,Edge
503,elb,Elbow
504,end,End
505,ent,Entrance
506,esp,Esplanade
507,exp,Expressway
508,fawy,Fairway
509,folw,Follow
510,ftwy,Footway
511,form,Formation
512,fwy,Freeway
513,frtg,Frontage
514,gap,Gap
515,gdns,Gardens
516,gte,Gate
517,glde,Glade
518,glen,Glen
519,gra,Grange
520,grn,Green
521,gr,Grove
522,hts,Heights
523,hird,Highroad
524,hwy,Highway
525,hill,Hill
526,intg,Interchange
527,jnc,Junction
